Generation,Average fitness
1,3.08
2,3.12
3,3.2
4,3.26
5,3.34
6,3.42
7,3.54
8,3.56
9,3.6
10,3.68
11,3.72
12,3.8
13,3.88
14,3.92
15,3.94
16,4.0
17,4.0
18,4.08
19,4.12
20,4.12
21,4.16
22,4.18
23,4.2
24,4.28
25,4.34
26,4.38
27,4.42
28,4.44
29,4.52
30,4.64
31,4.68
32,4.7
33,4.76
34,4.78
35,4.86
36,4.88
37,4.98
38,5.04
39,5.14
40,5.18
41,5.18
42,5.2
43,5.22
44,5.26
45,5.3
46,5.32
47,5.4
48,5.44
49,5.48
50,5.52
51,5.56
52,5.64
53,5.68
54,5.74
55,5.8
56,5.88
57,5.9
58,5.96
59,5.96
60,5.98
61,6.0
62,6.06
63,6.08
64,6.12
65,6.14
66,6.16
67,6.16
68,6.2
69,6.28
70,6.38
71,6.42
72,6.48
73,6.52
74,6.56
75,6.6
76,6.68
77,6.7
78,6.74
79,6.76
80,6.8
81,6.88
82,6.9
83,6.9
84,6.94
85,6.96
86,6.96
87,7.0
88,7.06
89,7.06
90,7.1
91,7.1
92,7.14
93,7.14
94,7.14
95,7.22
96,7.28
97,7.32
98,7.34
99,7.4
100,7.46
101,7.46
102,7.5
103,7.64
104,7.7
105,7.78
106,7.82
107,7.84
108,7.9
109,7.94
110,7.94
111,8.0
112,8.0
113,8.0
114,8.02
115,8.04
116,8.06
117,8.16
118,8.16
119,8.22
120,8.22
121,8.24
122,8.24
123,8.3
124,8.32
125,8.34
126,8.36
127,8.36
128,8.36
129,8.38
130,8.4
131,8.4
132,8.42
133,8.46
134,8.48
135,8.52
136,8.58
137,8.62
138,8.68
139,8.74
140,8.78
141,8.78
142,8.78
143,8.8
144,8.8
145,8.8
146,8.8
147,8.8
148,8.8
149,8.8
150,8.8
151,8.84
152,8.84
153,8.84
154,8.88
155,8.88
156,8.9
157,8.9
158,8.9
159,8.9
160,8.9
161,8.96
162,8.96
163,8.96
164,8.96
165,8.96
166,8.96
167,8.98
168,9.0
169,9.0
170,9.1
171,9.1
172,9.1
173,9.12
174,9.16
175,9.16
176,9.16
177,9.16
178,9.16
179,9.2
180,9.26
181,9.28
182,9.32
183,9.38
184,9.38
185,9.48
186,9.58
187,9.58
188,9.62
189,9.68
190,9.76
191,9.8
192,9.9
193,9.94
194,10.0
195,10.02
196,10.08
197,10.12
198,10.16
199,10.18
200,10.18
201,10.18
202,10.18
203,10.2
204,10.26
205,10.26
206,10.28
207,10.3
208,10.36
209,10.44
210,10.46
211,10.48
212,10.48
213,10.48
214,10.5
215,10.54
216,10.58
217,10.7
218,10.74
219,10.76
220,10.8
221,10.9
222,10.92
223,10.92
224,10.92
225,10.96
226,10.96
227,10.98
228,10.98
229,11.0
230,11.0
231,11.0
232,11.0
233,11.0
234,11.0
235,11.0
236,11.0
237,11.02
238,11.02
239,11.02
240,11.02
241,11.04
242,11.04
243,11.1
244,11.1
245,11.12
246,11.14
247,11.14
248,11.14
249,11.16
250,11.18
251,11.24
252,11.24
253,11.28
254,11.32
255,11.34
256,11.4
257,11.46
258,11.5
259,11.56
260,11.6
261,11.62
262,11.62
263,11.64
264,11.7
265,11.7
266,11.74
267,11.84
268,11.88
269,11.9
270,11.92
271,12.0
272,12.0
273,12.0
274,12.0
275,12.04
276,12.1
277,12.16
278,12.16
279,12.18
280,12.2
281,12.26
282,12.28
283,12.32
284,12.32
285,12.34
286,12.34
287,12.38
288,12.4
289,12.48
290,12.52
291,12.56
292,12.58
293,12.62
294,12.68
295,12.72
296,12.76
297,12.78
298,12.78
299,12.8
300,12.82
301,12.84
302,12.84
303,12.84
304,12.84
305,12.84
306,12.88
307,12.88
308,12.9
309,12.9
310,12.9
311,12.94
312,13.0
313,13.08
314,13.08
315,13.14
316,13.14
317,13.16
318,13.16
319,13.18
320,13.22
321,13.26
322,13.28
323,13.3
324,13.3
325,13.36
326,13.38
327,13.4
328,13.46
329,13.48
330,13.5
331,13.58
332,13.58
333,13.58
334,13.58
335,13.58
336,13.58
337,13.6
338,13.6
339,13.62
340,13.62
341,13.62
342,13.62
343,13.62
344,13.66
345,13.68
346,13.68
347,13.7
348,13.7
349,13.7
350,13.7
351,13.7
352,13.7
353,13.72
354,13.72
355,13.72
356,13.72
357,13.72
358,13.72
359,13.72
360,13.74
361,13.74
362,13.74
363,13.76
364,13.78
365,13.82
366,13.82
367,13.82
368,13.82
369,13.82
370,13.84
371,13.86
372,13.88
373,13.88
374,13.9
375,13.92
376,13.94
377,14.0
378,14.04
379,14.04
380,14.06
381,14.12
382,14.12
383,14.14
384,14.16
385,14.16
386,14.18
387,14.24
388,14.28
389,14.3
390,14.32
391,14.32
392,14.36
393,14.4
394,14.4
395,14.4
396,14.42
397,14.44
398,14.44
399,14.44
400,14.48
401,14.48
402,14.48
403,14.48
404,14.48
405,14.52
406,14.52
407,14.52
408,14.52
409,14.54
410,14.54
411,14.6
412,14.6
413,14.6
414,14.6
415,14.64
416,14.66
417,14.66
418,14.68
419,14.68
420,14.68
421,14.68
422,14.7
423,14.7
424,14.7
425,14.72
426,14.72
427,14.72
428,14.72
429,14.72
430,14.72
431,14.72
432,14.74
433,14.74
434,14.74
435,14.78
436,14.78
437,14.8
438,14.82
439,14.82
440,14.82
441,14.82
442,14.84
443,14.84
444,14.86
445,14.86
446,14.86
447,14.86
448,14.88
449,14.92
450,14.92
451,14.94
452,14.94
453,14.94
454,14.94
455,14.94
456,14.94
457,14.94
458,14.96
459,14.98
460,14.98
461,14.98
462,14.98
463,14.98
464,14.98
465,14.98
466,15.02
467,15.02
468,15.06
469,15.06
470,15.08
471,15.08
472,15.08
473,15.1
474,15.1
475,15.12
476,15.12
477,15.14
478,15.14
479,15.14
480,15.16
481,15.16
482,15.16
483,15.16
484,15.22
485,15.24
486,15.26
487,15.26
488,15.3
489,15.3
490,15.3
491,15.3
492,15.3
493,15.3
494,15.3
495,15.3
496,15.3
497,15.3
498,15.3
499,15.3
500,15.3
501,15.3
502,15.32
503,15.32
504,15.32
505,15.32
506,15.34
507,15.34
508,15.34
509,15.34
510,15.34
511,15.34
512,15.34
513,15.36
514,15.36
515,15.36
516,15.36
517,15.36
518,15.36
519,15.36
520,15.36
521,15.36
522,15.36
523,15.36
524,15.38
525,15.38
526,15.38
527,15.38
528,15.38
529,15.38
530,15.38
531,15.4
532,15.4
533,15.4
534,15.4
535,15.4
536,15.4
537,15.4
538,15.4
539,15.42
540,15.42
541,15.42
542,15.46
543,15.46
544,15.46
545,15.46
546,15.46
547,15.46
548,15.46
549,15.48
550,15.5
551,15.5
552,15.5
553,15.5
554,15.5
555,15.5
556,15.5
557,15.5
558,15.52
559,15.54
560,15.54
561,15.54
562,15.56
563,15.58
564,15.58
565,15.58
566,15.58
567,15.58
568,15.6
569,15.6
570,15.6
571,15.6
572,15.6
573,15.6
574,15.6
575,15.6
576,15.62
577,15.62
578,15.64
579,15.64
580,15.64
581,15.64
582,15.64
583,15.64
584,15.64
585,15.64
586,15.66
587,15.66
588,15.66
589,15.72
590,15.72
591,15.76
592,15.78
593,15.8
594,15.82
595,15.82
596,15.84
597,15.84
598,15.84
599,15.9
600,15.94
601,15.94
602,15.96
603,15.98
604,16.0
605,16.0
606,16.0
607,16.04
608,16.04
609,16.06
610,16.06
611,16.12
612,16.14
613,16.14
614,16.18
615,16.2
616,16.2
617,16.22
618,16.22
619,16.26
620,16.28
621,16.28
622,16.28
623,16.28
624,16.28
625,16.28
626,16.28
627,16.28
628,16.28
629,16.28
630,16.28
631,16.3
632,16.3
633,16.3
634,16.3
635,16.3
636,16.3
637,16.3
638,16.34
639,16.34
640,16.34
641,16.34
642,16.34
643,16.36
644,16.36
645,16.36
646,16.36
647,16.36
648,16.36
649,16.36
650,16.36
651,16.36
652,16.36
653,16.36
654,16.36
655,16.36
656,16.36
657,16.36
658,16.38
659,16.44
660,16.44
661,16.48
662,16.48
663,16.48
664,16.48
665,16.48
666,16.48
667,16.48
668,16.48
669,16.48
670,16.48
671,16.5
672,16.5
673,16.52
674,16.52
675,16.54
676,16.54
677,16.54
678,16.54
679,16.56
680,16.56
681,16.58
682,16.58
683,16.58
684,16.58
685,16.58
686,16.58
687,16.6
688,16.6
689,16.62
690,16.64
691,16.64
692,16.64
693,16.66
694,16.66
695,16.66
696,16.66
697,16.66
698,16.66
699,16.66
700,16.68
701,16.68
702,16.68
703,16.7
704,16.7
705,16.7
706,16.7
707,16.7
708,16.7
709,16.7
710,16.7
711,16.74
712,16.74
713,16.76
714,16.76
715,16.76
716,16.76
717,16.76
718,16.78
719,16.78
720,16.82
721,16.86
722,16.86
723,16.86
724,16.92
725,16.92
726,16.92
727,16.92
728,16.94
729,16.96
730,16.96
731,16.98
732,17.02
733,17.04
734,17.06
735,17.08
736,17.1
737,17.12
738,17.12
739,17.14
740,17.16
741,17.16
742,17.16
743,17.16
744,17.2
745,17.2
746,17.22
747,17.24
748,17.28
749,17.28
750,17.3
751,17.3
752,17.32
753,17.32
754,17.32
755,17.32
756,17.32
757,17.32
758,17.34
759,17.34
760,17.34
761,17.34
762,17.34
763,17.34
764,17.34
765,17.34
766,17.34
767,17.38
768,17.38
769,17.38
770,17.38
771,17.38
